Date,Open,High,Low,Close,Volume
2017/06/01,198.5,199,195.5,196.5,45851963
2017/06/02,198,198.5,197,198,27240962
2017/06/03,198.5,199,197,198,22194084
2017/06/05,197,198.5,197,197.5,17618358
2017/06/06,199,202.5,199,202.5,39591009
2017/06/07,205.5,207,203.5,203.5,48285324
2017/06/08,204,206,204,205.5,31075759
2017/06/09,204.5,208.5,204,207.5,44286097
2017/06/12,205,207,205,206,25507045
2017/06/13,204,206,204,206,25922334
2017/06/14,205,205,203.5,204.5,36604672
2017/06/15,203,204,203,204,22606380
2017/06/16,202.5,204,201.5,203.5,22490217
2017/06/19,203.5,204.5,202.5,203,17163108
2017/06/20,203.5,205,203,205,17419705
2017/06/21,205,207,204.5,205,23028298
2017/06/22,205,206,205,205.5,18307715
2017/06/23,206,207,205.5,207,26088748
2017/06/26,205,207,205,207,32976727
2017/06/27,206.5,207,203,203,67935145
